output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
130.5,13.6659280431156,111.445654551463,111.445654551463,0.144863334741,111.161722415371,111.729586687555,Constrained GP mean
131,13.7182879206754,110.633618803409,110.633618803409,0.144762108934954,110.349885069896,110.917352536921,Constrained GP mean
131.5,13.7706477982353,109.823907106758,109.823907106758,0.14439920002368,109.540884674712,110.106929538805,Constrained GP mean
131.68765743073,13.7902992384277,109.5209238893,109.5209238893,0.144340387704522,109.2380167294,109.803831049201,Constrained GP mean
132,13.8230076757951,109.01798671934,109.01798671934,0.14447430950143,108.734817072717,109.301156365963,Constrained GP mean
132.5,13.8753675533549,108.216395333904,108.216395333904,0.14479902208876,107.93258925061,108.500201417198,Constrained GP mean
133,13.9277274309147,107.419000170174,107.419000170174,0.144767591554243,107.135255690727,107.70274464962,Constrained GP mean
133.5,13.9800873084746,106.625653624463,106.625653624463,0.144663887201323,106.342112405548,106.909194843378,Constrained GP mean
133.501259445844,13.9802191973349,106.623660258236,106.623660258236,0.144664297009326,106.340118236098,106.907202280375,Constrained GP mean
134,14.0324471860344,105.836173980198,105.836173980198,0.145077558308937,105.551821965912,106.120525994483,Constrained GP mean
134.5,14.0848070635942,105.050241996951,105.050241996951,0.145321387758123,104.765412076945,105.335071916957,Constrained GP mean
135,14.1371669411541,104.267503814593,104.267503814593,0.144997717721154,103.983308287859,104.551699341326,Constrained GP mean
135.415617128463,14.1806902650703,103.619041617731,103.619041617731,0.14466589518909,103.335496463161,103.902586772302,Constrained GP mean
135.5,14.1895268187139,103.487605701602,103.487605701602,0.144650398498514,103.204090920545,103.771120482659,Constrained GP mean
136,14.2418866962737,102.710241224861,102.710241224861,0.144797383169014,102.42643835385,102.994044095872,Constrained GP mean
136.5,14.2942465738336,101.93521913288,101.93521913288,0.144756973930198,101.651495463977,102.218942801783,Constrained GP mean
137,14.3466064513934,101.162365394365,101.162365394365,0.144392272744704,100.879356539786,101.445374248945,Constrained GP mean
137.229219143577,14.3706102239775,100.808736857855,100.808736857855,0.144297007238991,100.525914723666,101.091558992043,Constrained GP mean
137.5,14.3989663289532,100.391509125346,100.391509125346,0.144379457742889,100.10852538817,100.674492862523,Constrained GP mean
138,14.451326206513,99.6225393935174,99.6225393935174,0.14464865186055,99.3390280358707,99.906050751164,Constrained GP mean
138.5,14.5036860840729,98.8553990439891,98.8553990439891,0.144548593306957,98.5720838011075,99.1387142868708,Constrained GP mean
139,14.5560459616327,98.0900328418123,98.0900328418123,0.144296933418994,97.8072108523111,98.3728548313135,Constrained GP mean
139.04282115869,14.5605301828847,98.0245657993131,98.0245657993131,0.144296952983314,97.7417437714658,98.3073878271604,Constrained GP mean
139.5,14.6084058391925,97.3263894249787,97.3263894249787,0.144568309470828,97.0430355384159,97.6097433115416,Constrained GP mean
140,14.6607657167524,96.5644375526789,96.5644375526789,0.144829545538835,96.2805716434227,96.848303461935,Constrained GP mean
140.5,14.7131255943122,95.8041524642695,95.8041524642695,0.144710670039737,95.5205195509916,96.0877853775474,Constrained GP mean
140.856423173804,14.7504501417919,95.2631899243866,95.2631899243866,0.144665144988326,94.9796462402095,95.5467336085637,Constrained GP mean
141,14.765485471872,95.0455093947171,95.0455093947171,0.144744644631341,94.7618098912397,95.3292088981945,Constrained GP mean
141.5,14.8178453494319,94.2884820042944,94.2884820042944,0.145200170934585,94.0038896692626,94.5730743393262,Constrained GP mean
142,14.8702052269917,93.5330412111679,93.5330412111679,0.145276931349879,93.2482984257221,93.8177839966136,Constrained GP mean
142.5,14.9225651045515,92.7791576501173,92.7791576501173,0.144851751075343,92.4952482180096,93.0630670822249,Constrained GP mean
142.770780856423,14.9509212095272,92.371522822919,92.371522822919,0.144662305295331,92.0879847045402,92.6550609412979,Constrained GP mean
143,14.9749249821113,92.0268018404776,92.0268018404776,0.144664619302286,91.7432591866451,92.3103444943101,Constrained GP mean
143.5,15.0272848596712,91.2759408317453,91.2759408317453,0.144828200558838,90.99207755865,91.5598041048407,Constrained GP mean
144,15.079644737231,90.5265378076449,90.5265378076449,0.144675023024223,90.2429747625174,90.8101008527724,Constrained GP mean
144.5,15.1320046147908,89.7785557497469,89.7785557497469,0.144348350589274,89.4956329825919,90.0614785169019,Constrained GP mean
144.584382871537,15.1408411684345,89.6524595008626,89.6524595008626,0.144335846044346,89.3695612426157,89.9353577591095,Constrained GP mean
145,15.1843644923507,89.0319573134409,89.0319573134409,0.144549941693953,88.7486394277207,89.315275199161,Constrained GP mean
145.5,15.2367243699105,88.2867029614095,88.2867029614095,0.144825527642792,88.0028449272296,88.5705609955894,Constrained GP mean
146,15.2890842474703,87.5427522634321,87.5427522634321,0.144725369766729,87.2590905386893,87.8264139881749,Constrained GP mean
146.39798488665,15.3307611273416,86.9514948619505,86.9514948619505,0.144663258706088,86.6679548748866,87.2350348490144,Constrained GP mean
146.5,15.3414441250302,86.800064773374,86.800064773374,0.144713921870077,86.5164254865086,87.0837040602393,Constrained GP mean
147,15.39380400259,86.0585997745096,86.0585997745096,0.145167489626548,85.7740714948416,86.3431280541777,Constrained GP mean
147.5,15.4461638801498,85.3183159129546,85.3183159129546,0.145294963046993,85.0335377853825,85.6030940405267,Constrained GP mean
148,15.4985237577096,84.5791717550619,84.5791717550619,0.144892820438227,84.295181827003,84.8631616831209,Constrained GP mean
148.31234256927,15.531232195077,84.1179993442572,84.1179993442572,0.144663260516738,83.8344593536444,84.40153933487,Constrained GP mean
148.5,15.5508836352695,83.8411258638991,83.8411258638991,0.144655937058486,83.5576002272645,84.1246515005338,Constrained GP mean
149,15.6032435128293,83.104136563695,83.104136563695,0.144822449538292,82.8202845626,83.3879885647901,Constrained GP mean
149.5,15.6556033903891,82.3681618324211,82.3681618324211,0.144703193509206,82.084543573143,82.6517800916991,Constrained GP mean
150,15.707963267949,81.6331596373716,81.6331596373716,0.144362975118801,81.3502082061387,81.9161110686044,Constrained GP mean
150.125944584383,15.7211521539842,81.448168910617,81.448168910617,0.144336115434676,81.165270124365,81.731067696869,Constrained GP mean
