output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
48.25,5.05272818452358,27,27,0,27,27,Manufacturer peak plateau
48.5,5.0789081233035,27,27,0,27,27,Manufacturer peak plateau
48.75,5.10508806208341,27,27,0,27,27,Manufacturer peak plateau
49,5.13126800086333,27,27,0,27,27,Manufacturer peak plateau
49.25,5.15744793964324,27,27,0,27,27,Manufacturer peak plateau
49.5,5.18362787842316,27,27,0,27,27,Manufacturer peak plateau
49.75,5.20980781720307,27,27,0,27,27,Manufacturer peak plateau
50,5.23598775598299,27,27,0,27,27,Manufacturer peak plateau
50.25,5.2621676947629,27,27,0,27,27,Manufacturer peak plateau
50.5,5.28834763354282,27,27,0,27,27,Manufacturer peak plateau
50.75,5.31452757232273,27,27,0,27,27,Manufacturer peak plateau
51,5.34070751110265,27,27,0,27,27,Manufacturer peak plateau
51.25,5.36688744988256,27,27,0,27,27,Manufacturer peak plateau
51.5,5.39306738866248,27,27,0,27,27,Manufacturer peak plateau
51.75,5.41924732744239,27,27,0,27,27,Manufacturer peak plateau
52,5.44542726622231,27,27,0,27,27,Manufacturer peak plateau
52.25,5.47160720500222,27,27,0,27,27,Manufacturer peak plateau
52.5,5.49778714378214,27,27,0,27,27,Manufacturer peak plateau
52.75,5.52396708256205,27,27,0,27,27,Manufacturer peak plateau
53,5.55014702134197,27,27,0,27,27,Manufacturer peak plateau
53.25,5.57632696012188,27,27,0,27,27,Manufacturer peak plateau
53.5,5.6025068989018,27,27,0,27,27,Manufacturer peak plateau
53.75,5.62868683768171,27,27,0,27,27,Manufacturer peak plateau
54,5.65486677646163,27,27,0,27,27,Manufacturer peak plateau
54.25,5.68104671524154,27,27,0,27,27,Manufacturer peak plateau
54.5,5.70722665402146,27,27,0,27,27,Manufacturer peak plateau
54.75,5.73340659280137,27,27,0,27,27,Manufacturer peak plateau
55,5.75958653158129,27,27,0,27,27,Manufacturer peak plateau
55.25,5.7857664703612,27,27,0,27,27,Manufacturer peak plateau
55.5,5.81194640914112,27,27,0,27,27,Manufacturer peak plateau
55.75,5.83812634792103,27,27,0,27,27,Manufacturer peak plateau
56,5.86430628670095,27,27,0,27,27,Manufacturer peak plateau
56.25,5.89048622548086,27,27,0,27,27,Manufacturer peak plateau
56.5,5.91666616426078,27,27,0,27,27,Manufacturer peak plateau
56.75,5.94284610304069,27,27,0,27,27,Manufacturer peak plateau
57,5.96902604182061,27,27,0,27,27,Manufacturer peak plateau
57.25,5.99520598060052,27,27,0,27,27,Manufacturer peak plateau
57.5,6.02138591938044,27,27,0,27,27,Manufacturer peak plateau
57.75,6.04756585816035,27,27,0,27,27,Manufacturer peak plateau
58,6.07374579694027,27,27,0,27,27,Manufacturer peak plateau
58.25,6.09992573572018,27,27,0,27,27,Manufacturer peak plateau
58.5,6.1261056745001,27,27,0,27,27,Manufacturer peak plateau
58.75,6.15228561328001,27,27,0,27,27,Manufacturer peak plateau
59,6.17846555205993,27,27,0,27,27,Manufacturer peak plateau
59.25,6.20464549083984,27,27,0,27,27,Manufacturer peak plateau
59.5,6.23082542961976,27,27,0,27,27,Manufacturer peak plateau
59.75,6.25700536839967,27,27,0,27,27,Manufacturer peak plateau
60,6.28318530717959,27,27,0,27,27,Manufacturer peak plateau
60.25,6.3093652459595,27,27,0,27,27,Manufacturer peak plateau
60.5,6.33554518473942,27,27,0,27,27,Manufacturer peak plateau
60.75,6.36172512351933,27,27,0,27,27,Manufacturer peak plateau
61,6.38790506229925,27,27,0,27,27,Manufacturer peak plateau
61.25,6.41408500107916,27,27,0,27,27,Manufacturer peak plateau
61.35,6.42455697659113,27,27,0,27,27,Manufacturer peak plateau
61.5,6.44026493985908,27,27,0,27,27,Manufacturer peak plateau
61.75,6.46644487863899,27,27,0,27,27,Manufacturer peak plateau
61.975,6.49000682354091,27,27,0,27,27,Manufacturer peak plateau
62,6.49262481741891,27,27,0,27,27,Manufacturer peak plateau
62.25,6.51880475619882,27,27,0,27,27,Manufacturer peak plateau
62.5,6.54498469497874,27,27,0,27,27,Manufacturer peak plateau
62.575,6.55283867661271,27,27,0,27,27,Manufacturer peak plateau
62.75,6.57116463375865,27,27,0,27,27,Manufacturer peak plateau
63,6.59734457253857,27,27,0,27,27,Manufacturer peak plateau
63.175,6.61567052968451,27,27,0,27,27,Manufacturer peak plateau
63.25,6.62352451131848,27,27,0,27,27,Manufacturer peak plateau
63.5,6.64970445009839,27,27,0,27,27,Manufacturer peak plateau
63.75,6.67588438887831,27,27,0,27,27,Manufacturer peak plateau
63.8,6.68112037663429,27,27,0,27,27,Manufacturer peak plateau
64,6.70206432765823,27,27,0,27,27,Manufacturer peak plateau
64.25,6.72824426643814,27,27,0,27,27,Manufacturer peak plateau
64.4,6.74395222970609,27,27,0,27,27,Manufacturer peak plateau
64.5,6.75442420521806,27,27,0,27,27,Manufacturer peak plateau
64.75,6.78060414399797,27,27,0,27,27,Manufacturer peak plateau
65,6.80678408277788,27,27,0,27,27,Manufacturer peak plateau
65.025,6.80940207665588,27,27,0,27,27,Manufacturer peak plateau
65.25,6.8329640215578,27,27,0,27,27,Manufacturer peak plateau
65.5,6.85914396033771,27,27,0,27,27,Manufacturer peak plateau
65.625,6.87223392972767,27,27,0,27,27,Manufacturer peak plateau
65.75,6.88532389911763,27,27,0,27,27,Manufacturer peak plateau
66,6.91150383789754,27,27,0,27,27,Manufacturer peak plateau
66.25,6.93768377667746,27,27,0,27,27,Manufacturer peak plateau
66.5,6.96386371545737,27,27,0,27,27,Manufacturer peak plateau
66.75,6.99004365423729,27,27,0,27,27,Manufacturer peak plateau
66.85,7.00051562974925,27,27,0,27,27,Manufacturer peak plateau
67,7.0162235930172,27,27,0,27,27,Manufacturer peak plateau
67.25,7.04240353179712,27,27,0,27,27,Manufacturer peak plateau
67.475,7.06596547669904,27,27,0,27,27,Manufacturer peak plateau
67.5,7.06858347057703,27,27,0,27,27,Manufacturer peak plateau
67.75,7.09476340935695,27,27,0,27,27,Manufacturer peak plateau
68,7.12094334813686,27,27,0,27,27,Manufacturer peak plateau
68.075,7.12879732977084,27,27,0,27,27,Manufacturer peak plateau
