output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
90,9.42477796076938,120,120,0,120,120,Manufacturer peak plateau extrapolation
90.5,9.47713783832921,120,120,0,120,120,Manufacturer peak plateau extrapolation
91,9.52949771588904,120,120,0,120,120,Manufacturer peak plateau extrapolation
91.5,9.58185759344887,120,120,0,120,120,Manufacturer peak plateau extrapolation
92,9.6342174710087,120,120,0,120,120,Manufacturer peak plateau extrapolation
92.5,9.68657734856853,120,120,0,120,120,Manufacturer peak plateau extrapolation
93,9.73893722612836,120,120,0,120,120,Manufacturer peak plateau extrapolation
93.5,9.79129710368819,120,120,0,120,120,Manufacturer peak plateau extrapolation
94,9.84365698124802,120,120,0,120,120,Manufacturer peak plateau extrapolation
94.5,9.89601685880785,120,120,0,120,120,Manufacturer peak plateau extrapolation
94.801,9.92753750509887,120,120.002456618303,0.166051778699489,120,120,GP fitted to digitized manufacturer curve
95,9.94837673636768,119.998654219929,119.998654219929,0.157155946860124,119.690628564083,120,GP fitted to digitized manufacturer curve
95.035,9.95204192779687,119.996600929357,119.996600929357,0.165687866888464,119.671852710255,120,GP fitted to digitized manufacturer curve
95.5,10.0007366139275,119.927446374705,119.927446374705,0.449470378317972,119.046484433202,120,GP fitted to digitized manufacturer curve
96,10.0530964914873,119.773630967106,119.773630967106,0.826652257685451,118.153392542042,120,GP fitted to digitized manufacturer curve
96.5,10.1054563690472,119.548701005099,119.548701005099,1.15365556382689,117.287536099999,120,GP fitted to digitized manufacturer curve
97,10.157816246607,119.263862420609,119.263862420609,1.38349181430526,116.552218464571,120,GP fitted to digitized manufacturer curve
97.5,10.2101761241668,118.930061600153,118.930061600153,1.48961646658469,116.010413325647,120,GP fitted to digitized manufacturer curve
98,10.2625360017267,118.558015884123,118.558015884123,1.45749862201176,115.70131858498,120,GP fitted to digitized manufacturer curve
98.5,10.3148958792865,118.158243530777,118.158243530777,1.28205951071865,115.645406889768,120,GP fitted to digitized manufacturer curve
99,10.3672557568463,117.741093206896,117.741093206896,0.967320179877979,115.845145654335,119.637040759456,GP fitted to digitized manufacturer curve
99.5,10.4196156344061,117.316773066144,117.316773066144,0.530967806333714,116.27607616573,118.357469966558,GP fitted to digitized manufacturer curve
99.953,10.4670536834754,116.934594469617,116.934594469617,0.169663966693248,116.602053094898,117.267135844335,GP fitted to digitized manufacturer curve
100,10.471975511966,116.8953779647,116.8953779647,0.178786719632869,116.54495599422,117.245799935181,GP fitted to digitized manufacturer curve
100.5,10.5243353895258,116.484543730172,116.484543730172,0.633959371283438,115.241983362456,117.727104097887,GP fitted to digitized manufacturer curve
101,10.5766952670856,116.084659560804,116.084659560804,1.0829849414209,113.962009075619,118.207310045989,GP fitted to digitized manufacturer curve
101.5,10.6290551446455,115.694702127928,115.694702127928,1.42075915894198,112.910014176401,118.479390079454,GP fitted to digitized manufacturer curve
102,10.6814150222053,115.313586220949,115.313586220949,1.62777510309071,112.123147018891,118.504025423007,GP fitted to digitized manufacturer curve
102.5,10.7337748997651,114.940162507162,114.940162507162,1.6943802553598,111.619177206657,118.261147807667,GP fitted to digitized manufacturer curve
103,10.786134777325,114.573215099472,114.573215099472,1.61727494436809,111.40335620851,117.743073990433,GP fitted to digitized manufacturer curve
103.5,10.8384946548848,114.211458927506,114.211458927506,1.39897318024475,111.469471494227,116.953446360786,GP fitted to digitized manufacturer curve
104,10.8908545324446,113.853536907213,113.853536907213,1.04836438043974,111.798742721551,115.908331092875,GP fitted to digitized manufacturer curve
104.5,10.9432144100044,113.498016903587,113.498016903587,0.584975339707406,112.351465237761,114.644568569414,GP fitted to digitized manufacturer curve
104.988,10.9943176505028,113.151901237746,113.151901237746,0.169670969868087,112.819346136804,113.484456338687,GP fitted to digitized manufacturer curve
